City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,Caravelas,-17.7125,-39.2481,80.74,55,7,9.57,BR,2021-10-28 18:24:57
312,Altay,47.8667,88.1167,38.98,58,88,6.02,CN,2021-10-28 18:24:57
313,Kulachi,31.9286,70.4592,73.35,25,0,3.78,PK,2021-10-28 18:24:58
314,Chiredzi,-21.05,31.6667,74.16,48,96,5.01,ZW,2021-10-28 18:24:58
315,Zheleznodorozhnyy,55.7503,38.0042,45.36,76,99,7.31,RU,2021-10-28 18:24:58
316,Edendale,-29.6528,30.3147,59.63,94,100,2.17,ZA,2021-10-28 18:24:59
317,Domazlice,49.4405,12.9298,45.5,97,32,1.79,CZ,2021-10-28 18:24:59
318,Fortuna,40.5982,-124.1573,70.93,71,1,4.0,US,2021-10-28 18:24:59
319,The Valley,18.217,-63.0578,89.46,65,20,9.22,AI,2021-10-28 18:25:00
320,Inirida,3.8653,-67.9239,79.88,87,100,1.97,CO,2021-10-28 18:25:00
321,Fergus Falls,46.283,-96.0776,52.52,93,90,5.99,US,2021-10-28 18:25:00
322,Jalingo,8.8833,11.3667,82.38,61,11,3.33,NG,2021-10-28 18:25:01
323,Sechura,-5.5569,-80.8222,77.81,56,32,14.2,PE,2021-10-28 18:25:01
324,Korsakovo,53.2677,37.3569,46.27,81,91,13.51,RU,2021-10-28 18:25:02
325,Kaseda,31.4167,130.3167,55.85,70,1,6.35,JP,2021-10-28 18:25:03
326,Itarema,-2.9248,-39.9167,86.43,58,7,18.57,BR,2021-10-28 18:25:04
327,San Cristobal,7.7669,-72.225,80.78,62,65,6.04,VE,2021-10-28 18:25:04
328,Mingguang,32.7802,117.9638,56.55,62,96,5.14,CN,2021-10-28 18:25:05
329,Booue,-0.0921,11.9385,74.79,94,39,1.72,GA,2021-10-28 18:25:06
330,Hami,42.8,93.45,49.87,35,74,3.02,CN,2021-10-28 18:20:40
331,Mombetsu,44.3525,143.3525,49.86,92,82,19.75,JP,2021-10-28 18:25:07
332,Kahului,20.8947,-156.47,79.86,80,20,0.0,US,2021-10-28 18:25:07
333,Butterworth,5.3991,100.3638,78.84,88,40,2.3,MY,2021-10-28 18:25:08
334,Te Anau,-45.4167,167.7167,44.91,91,22,0.81,NZ,2021-10-28 18:25:08
335,Empalme,27.9667,-110.8167,88.36,18,1,0.0,MX,2021-10-28 18:25:09
336,Zhezkazgan,47.8043,67.7144,37.62,30,5,6.24,KZ,2021-10-28 18:25:09
337,Khatanga,71.9667,102.5,-3.05,99,100,7.07,RU,2021-10-28 18:25:10
338,Nome,64.5011,-165.4064,17.67,74,40,0.0,US,2021-10-28 18:25:10
339,Sindor,62.8629,51.8905,22.55,82,72,11.07,RU,2021-10-28 18:25:10
340,Nauta,-4.5061,-73.5757,79.41,76,100,3.98,PE,2021-10-28 18:25:11
341,Praia Da Vitoria,38.7333,-27.0667,68.76,83,40,5.26,PT,2021-10-28 18:25:11
342,Geraldton,-28.7667,114.6,49.12,81,3,10.36,AU,2021-10-28 18:25:11
343,Azuqueca De Henares,40.5669,-3.2599,64.08,45,0,5.75,ES,2021-10-28 18:25:12
344,Sakaiminato,35.55,133.2333,60.78,51,75,14.97,JP,2021-10-28 18:25:12
345,Banjar,-8.19,114.9675,82.26,90,100,3.56,ID,2021-10-28 18:25:12
346,Topeka,39.0483,-95.678,52.23,93,90,1.01,US,2021-10-28 18:20:45
347,Soyo,-6.1349,12.3689,80.65,79,21,11.45,AO,2021-10-28 18:25:13
348,Coquimbo,-29.9533,-71.3436,58.73,82,75,16.11,CL,2021-10-28 18:21:38
349,Korla,41.7597,86.1469,49.32,40,39,1.92,CN,2021-10-28 18:25:13
350,Mariestad,58.7097,13.8237,52.5,86,100,13.11,SE,2021-10-28 18:25:14
351,Sioux Lookout,50.1001,-91.917,46.78,87,90,6.91,CA,2021-10-28 18:25:14
352,Apollonia,36.9716,24.7231,63.91,65,1,14.58,GR,2021-10-28 18:25:14
353,Pasighat,28.0667,95.3333,67.78,76,0,3.18,IN,2021-10-28 18:25:15
354,Roald,62.5833,6.1333,54.1,93,75,0.0,NO,2021-10-28 18:25:15
355,Kristiansund,63.1115,7.732,50.65,87,75,5.75,NO,2021-10-28 18:25:15
356,Cuamba,-14.8031,36.5372,75.0,50,39,8.88,MZ,2021-10-28 18:25:16
357,Lodja,-3.4833,23.4333,68.31,99,99,1.39,CD,2021-10-28 18:25:16
358,Boyolangu,-8.1181,111.8935,76.66,92,100,2.17,ID,2021-10-28 18:25:16
359,Antofagasta,-23.65,-70.4,63.68,64,25,8.99,CL,2021-10-28 18:25:16
360,Monchegorsk,67.9397,32.8739,28.02,90,100,20.49,RU,2021-10-28 18:24:10
361,Barabai,-2.5833,115.3833,74.17,97,99,1.3,ID,2021-10-28 18:25:17
