City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
175,Norman,35.2226,-97.4395,50.97,78,1,8.05,US,clear sky
176,Pokhara,28.2333,83.9833,65.14,54,68,2.66,NP,broken clouds
177,Okhotsk,59.3833,143.3,33.57,99,100,18.01,RU,light rain
178,Xinmin,41.9908,122.8253,43.05,41,100,17.58,CN,overcast clouds
179,Cabo San Lucas,22.8909,-109.9124,77.61,73,49,7.92,MX,scattered clouds
180,Diapaga,12.0708,1.7889,79.47,32,73,3.53,BF,broken clouds
181,Saint-Joseph,-21.3667,55.6167,78.48,70,0,6.78,RE,clear sky
182,Boyolangu,-8.1181,111.8935,87.57,63,64,2.66,ID,broken clouds
183,Bocaiuva,-17.1078,-43.815,67.71,76,73,3.2,BR,broken clouds
184,Necochea,-38.5473,-58.7368,47.03,65,100,6.49,AR,overcast clouds
185,Khash,28.2211,61.2158,52.61,47,2,3.89,IR,clear sky
186,Manicore,-5.8092,-61.3003,75.22,89,69,1.12,BR,broken clouds
187,Houston,29.7633,-95.3633,57.24,69,20,5.75,US,few clouds
188,Saint-Pierre,-21.3393,55.4781,79.57,63,0,4.61,RE,clear sky
189,Lagoa,39.05,-27.9833,68.32,88,100,28.77,PT,overcast clouds
190,Severo-Kurilsk,50.6789,156.125,37.56,76,99,12.41,RU,overcast clouds
191,Pag,44.445,15.0575,52.38,77,83,22.03,HR,broken clouds
192,Ust-Tsilma,65.441,52.1498,37.0,98,100,10.49,RU,overcast clouds
193,Kaeo,-35.1,173.7833,63.12,90,59,3.53,NZ,broken clouds
194,Poya,-21.35,165.15,77.18,56,20,9.98,NC,few clouds
195,Seoul,37.5683,126.9778,66.61,45,40,5.75,KR,scattered clouds
196,Mahebourg,-20.4081,57.7,78.26,78,40,6.91,MU,scattered clouds
197,Shawnee,39.05,-95.7669,48.63,81,1,1.01,US,clear sky
198,Beloha,-25.1667,45.05,65.8,71,23,11.25,MG,few clouds
199,Verkhoyansk,67.5447,133.385,7.36,69,30,16.78,RU,scattered clouds
200,Leshukonskoye,64.8989,45.7622,41.94,94,100,8.99,RU,overcast clouds
201,Haapiti,-17.5667,-149.8667,82.13,70,100,6.58,PF,overcast clouds
202,Saskylakh,71.9167,114.0833,-3.03,91,90,17.65,RU,overcast clouds
203,Teya,60.3778,92.6267,23.76,85,100,12.48,RU,overcast clouds
204,Springfield,37.2153,-93.2982,44.67,76,1,1.01,US,clear sky
205,Zhongshu,24.5167,103.7667,65.98,73,32,9.33,CN,scattered clouds
206,Kysyl-Syr,63.8986,122.7617,14.5,92,100,8.43,RU,overcast clouds
207,Kuytun,54.3419,101.5036,14.9,62,100,4.12,RU,overcast clouds
208,Narsaq,60.9167,-46.05,25.02,90,48,7.9,GL,scattered clouds
209,Itarantim,-15.6597,-40.0656,70.3,99,58,2.71,BR,broken clouds
